MOTHER.ID,CUB.D.O.B,INTERBIRTH.INTERVAL,NUMBER.CUBS.IN.LITTER,NUMBER.MALE,NUMBER.FEMALE,NUMBER.CUBS.TO.REACH.YEAR3,YEAR
3_4,1/10/1995,24,2,1,1,2,1995
3_4,1/10/1997,5,2,NA,NA,0,1997
3_4,1/03/1998,6,1,1,NA,0,1998
3_4,1/09/1998,36,2,1,1,2,1998
3_4,1/09/2001,15,2,1,1,0,2001
3_4,1/12/2002,9,2,NA,NA,0,2002
3_4,1/09/2003,5,2,NA,NA,0,2003
3_4,1/02/2004,10,2,NA,1,0,2004
3_4,1/12/2004,14,2,NA,NA,0,2004
3_4,1/02/2006,12,NA,NA,NA,0,2006
3_4,1/02/2007,NA,1,1,NA,0,2007
Campbell_Koppies,1/02/2004,8,NA,NA,NA,0,2004
Campbell_Koppies,1/10/2004,33,2,NA,2,2,2004
Campbell_Koppies,1/07/2007,19,1,NA,1,1,2007
Campbell_Koppies,1/02/2009,9,3,NA,NA,0,2009
Campbell_Koppies,1/11/2009,13,2,NA,NA,0,2009
Campbell_Koppies,1/12/2010,5,NA,NA,NA,0,2010
Campbell_Koppies,1/05/2011,22,2,NA,NA,0,2011
Campbell_Koppies,1/03/2013,NA,1,NA,NA,0,2013
Dudley_Riverbank,1/12/2002,24,2,1,1,0,2002
Dudley_Riverbank,1/12/2004,11,2,NA,NA,0,2004
Dudley_Riverbank,1/11/2005,11,2,NA,NA,0,2005
Dudley_Riverbank,1/10/2006,33,2,2,NA,2,2006
Dudley_Riverbank,1/07/2009,32,2,1,1,1,2009
Dudley_Riverbank,1/03/2012,NA,1,NA,1,1,2012
Flockfield,1/06/2011,NA,2,1,NA,NA,2011
Hlabankunzi,1/01/2010,23,2,NA,2,0,2010
Hlabankunzi,1/12/2011,9,1,NA,NA,0,2011
Hlabankunzi,1/09/2012,17,1,NA,1,1,2012
Hlabankunzi,1/02/2014,10,2,NA,NA,0,2014
Hlabankunzi,1/12/2014,NA,2,NA,NA,NA,2014
Inkanyeni,1/02/2010,13,1,1,NA,0,2010
Inkanyeni,1/03/2011,21,1,1,NA,1,2011
Inkanyeni,1/12/2012,10,1,NA,NA,0,2012
Inkanyeni,1/10/2013,NA,2,1,1,NA,2013
Jakkalsdraai,1/04/2004,26,2,NA,2,2,2004
Jakkalsdraai,1/06/2006,7,NA,NA,NA,0,2006
Jakkalsdraai,1/01/2007,23,NA,NA,NA,0,2007
Jakkalsdraai,1/12/2008,20,1,1,NA,1,2008
Jakkalsdraai,1/08/2010,11,1,NA,NA,0,2010
Jakkalsdraai,1/07/2011,NA,2,NA,2,1,2011
Kapen,1/06/1997,11,NA,NA,NA,0,1997
Kapen,1/05/1998,18,2,NA,NA,0,1998
Kapen,1/11/1999,24,1,NA,1,1,1999
Kapen,1/11/2001,35,2,NA,1,1,2001
Kapen,1/10/2004,8,NA,NA,NA,0,2004
Kapen,1/06/2005,31,1,1,NA,1,2005
Kapen,1/01/2008,12,2,NA,NA,0,2008
Kapen,1/01/2009,NA,1,NA,NA,0,2009
Karula,1/02/2007,21,2,NA,2,2,2007
Karula,1/11/2008,23,2,2,NA,2,2008
Karula,1/10/2010,26,2,1,1,1,2010
Karula,1/12/2012,23,2,2,NA,2,2012
Karula,1/11/2014,NA,1,NA,NA,0,2014
Kikilezi,1/02/2006,24,2,1,NA,1,2006
Kikilezi,1/02/2008,23,2,2,NA,1,2008
Kikilezi,1/01/2010,26,3,2,1,1,2010
Kikilezi,1/03/2012,16,2,1,NA,0,2012
Kikilezi,1/07/2013,5,NA,NA,NA,0,2013
Kikilezi,1/12/2013,NA,2,1,1,NA,2013
KK,1/02/2009,NA,1,1,NA,1,2009
Kwatile,1/02/2011,24,1,1,NA,0,2011
Kwatile,1/02/2013,12,1,NA,NA,0,2013
Kwatile,1/02/2014,NA,1,1,NA,NA,2014
Kwela_Kwela,1/06/2011,28,1,1,NA,1,2011
Kwela_Kwela,1/10/2013,NA,1,NA,1,NA,2013
Little_Bush,1/08/2008,24,1,NA,NA,1,2008
Little_Bush,1/08/2010,16,1,NA,1,0,2010
Little_Bush,1/12/2011,13,2,NA,NA,0,2011
Little_Bush,1/01/2013,13,1,NA,NA,0,2013
Little_Bush,1/02/2014,NA,2,1,NA,NA,2014
Makubela,1/08/2007,9,NA,NA,NA,0,2007
Makubela,1/05/2008,8,2,NA,NA,0,2008
Makubela,1/01/2009,11,2,NA,NA,0,2009
Makubela,1/12/2009,NA,2,1,1,0,2009
Makwela,1/03/1997,10,NA,NA,NA,0,1997
Makwela,1/01/1998,11,NA,NA,NA,0,1998
Makwela,1/12/1998,11,NA,NA,NA,0,1998
Makwela,1/11/1999,25,2,2,NA,2,1999
Makwela,1/12/2001,25,3,NA,3,3,2001
Makwela,1/01/2004,23,NA,1,NA,1,2004
Makwela,1/12/2005,5,NA,NA,NA,0,2005
Makwela,1/05/2006,23,1,NA,1,1,2006
Makwela,1/04/2008,10,3,NA,NA,0,2008
Makwela,1/02/2009,NA,NA,NA,NA,0,2009
Mambiri,1/11/2006,29,2,NA,1,1,2006
Mambiri,1/04/2009,40,2,NA,1,1,2009
Mashaba,1/08/2012,19,2,NA,1,1,2012
Mashaba,1/03/2014,NA,3,NA,NA,0,2014
Matshapiri,1/12/2005,32,2,NA,1,1,2005
Matshapiri,1/08/2008,39,1,1,NA,1,2008
Matshapiri,1/11/2011,38,2,1,1,1,2011
Matshapiri,1/01/2015,NA,2,NA,NA,NA,2015
Metsi,1/03/2010,29,2,2,NA,2,2010
Metsi,1/08/2012,NA,1,NA,1,1,2012
Mother,1/09/1979,23,2,NA,2,2,1979
Mother,1/08/1981,17,2,1,1,2,1981
Mother,1/01/1983,15,3,NA,1,1,1983
Mother,1/04/1984,18,2,1,1,2,1984
Mother,1/10/1985,15,2,1,1,2,1985
Mother,1/01/1987,5,NA,NA,NA,0,1987
Mother,1/06/1987,14,1,1,NA,1,1987
Mother,1/08/1988,14,2,NA,1,1,1988
Mother,1/10/1989,NA,1,1,NA,1,1989
Mxabene,1/11/2001,5,NA,NA,NA,0,2001
Mxabene,1/04/2002,26,2,1,1,1,2002
Mxabene,1/06/2004,17,2,NA,NA,0,2004
Mxabene,1/11/2005,5,2,NA,NA,0,2005
Mxabene,1/04/2006,29,2,2,NA,1,2006
Mxabene,1/09/2008,28,2,2,NA,2,2008
Mxabene,1/01/2011,20,NA,NA,NA,0,2011
Mxabene,1/09/2012,NA,1,NA,NA,0,2012
Nanga,1/06/2013,11,2,2,NA,1,2013
Nanga,1/05/2014,NA,2,NA,NA,NA,2014
Ngoboswan,1/12/1997,22,2,NA,1,1,1997
Ngoboswan,1/10/1999,25,3,1,2,2,1999
Ngoboswan,1/11/2001,35,3,1,2,2,2001
Ngoboswan,1/10/2004,4,NA,NA,NA,0,2004
Ngoboswan,1/02/2005,9,3,NA,NA,0,2005
Ngoboswan,1/11/2005,23,2,1,NA,1,2005
Ngoboswan,1/10/2007,NA,2,NA,1,1,2007
Nottens,1/11/1998,35,2,NA,2,2,1998
Nottens,1/10/2001,13,2,NA,NA,0,2001
Nottens,1/11/2002,10,1,NA,1,0,2002
Nottens,1/09/2003,18,2,NA,NA,0,2003
Nottens,1/03/2005,15,2,NA,NA,0,2005
Nottens,1/06/2006,29,2,NA,1,1,2006
Nottens,1/11/2008,14,NA,NA,NA,0,2008
Nottens,1/01/2010,NA,NA,NA,NA,0,2010
Nsele,1/03/2013,6,2,NA,NA,0,2013
Nsele,1/09/2013,NA,NA,NA,NA,NA,2013
Nyeleti,1/02/2007,14,2,NA,NA,0,2007
Nyeleti,1/04/2008,15,2,NA,2,1,2008
Nyeleti,1/07/2009,20,3,2,1,3,2009
Nyeleti,1/03/2011,NA,NA,NA,NA,0,2011
Ostrich_Koppies,1/01/2009,20,2,2,NA,0,2009
Ostrich_Koppies,1/09/2010,20,2,NA,1,1,2010
Ostrich_Koppies,1/05/2012,8,NA,NA,NA,0,2012
Ostrich_Koppies,1/01/2013,12,2,NA,1,0,2013
Ostrich_Koppies,1/01/2014,5,NA,NA,NA,0,2014
Ostrich_Koppies,1/06/2014,NA,2,1,1,NA,2014
Ravenscourt,1/07/2005,8,2,NA,NA,0,2005
Ravenscourt,1/03/2006,21,2,1,1,1,2006
Ravenscourt,1/12/2007,16,2,1,1,1,2007
Ravenscourt,1/04/2009,21,2,2,NA,1,2009
Ravenscourt,1/01/2011,13,3,2,1,0,2011
Ravenscourt,1/02/2012,NA,3,2,NA,1,2012
Rollercoaster,1/05/2006,31,1,NA,1,1,2006
Rollercoaster,1/12/2008,28,2,1,NA,1,2008
Rollercoaster,1/04/2011,20,1,1,NA,1,2011
Rollercoaster,1/12/2012,NA,1,NA,1,1,2012
Safari,1/10/1997,28,2,2,NA,2,1997
Safari,1/02/2000,11,2,NA,NA,0,2000
Safari,1/01/2001,38,2,2,NA,2,2001
Safari,1/03/2004,21,2,NA,2,2,2004
Safari,1/12/2005,36,2,1,1,1,2005
Safari,1/12/2008,NA,NA,NA,NA,0,2008
Salayexe,1/10/2008,6,2,NA,NA,0,2008
Salayexe,1/04/2009,22,2,1,1,2,2009
Salayexe,1/02/2011,9,2,NA,NA,0,2011
Salayexe,1/11/2011,7,NA,NA,NA,0,2011
Salayexe,1/06/2012,21,2,NA,1,0,2012
Salayexe,1/03/2014,8,2,NA,NA,0,2014
Salayexe,1/11/2014,NA,1,NA,NA,0,2014
Sand_River,1/07/1989,9,NA,NA,NA,0,1989
Sand_River,1/04/1990,NA,2,NA,1,1,1990
Saseka,1/06/2000,31,2,2,NA,2,2000
Saseka,1/01/2003,23,1,NA,1,1,2003
Saseka,1/12/2004,4,NA,NA,NA,0,2004
Saseka,1/04/2005,20,2,NA,1,1,2005
Saseka,1/12/2006,NA,2,NA,NA,0,2006
Scotia,1/12/2012,20,1,NA,1,1,2012
Scotia,1/08/2014,NA,2,1,1,NA,2014
Shadow,1/10/2010,15,2,NA,NA,0,2010
Shadow,1/01/2012,9,NA,NA,NA,0,2012
Shadow,1/10/2012,13,2,NA,2,0,2012
Shadow,1/11/2013,10,2,NA,NA,0,2013
Shadow,1/09/2014,NA,2,1,NA,NA,2014
Shangwa,1/08/2002,8,NA,NA,NA,0,2002
Shangwa,1/04/2003,8,NA,NA,NA,0,2003
Shangwa,1/12/2003,21,3,1,1,2,2003
Shangwa,1/09/2005,29,3,NA,2,2,2005
Shangwa,1/02/2008,10,3,1,2,0,2008
Shangwa,1/12/2008,25,1,NA,1,1,2008
Shangwa,1/01/2011,NA,1,1,NA,1,2011
Tamboti,1/03/2013,NA,2,1,1,1,2013
Tasselberry,1/02/2014,9,1,NA,NA,0,2014
Tasselberry,1/11/2014,NA,1,NA,NA,NA,2014
Tavangumi,1/11/1998,25,2,NA,1,1,1998
Tavangumi,1/12/2000,25,1,1,NA,1,2000
Tavangumi,1/01/2003,25,NA,NA,1,1,2003
Tavangumi,2/02/2005,24,NA,1,NA,1,2005
Tavangumi,1/03/2007,10,2,NA,NA,0,2007
Tavangumi,1/01/2008,9,NA,NA,NA,0,2008
Tavangumi,1/10/2008,NA,1,1,NA,1,2008
Thandi,1/12/2010,21,2,1,NA,1,2010
Thandi,1/09/2012,23,2,1,1,1,2012
Thandi,1/08/2014,NA,2,NA,NA,0,2014
Thlangisa,1/09/2013,7,NA,NA,NA,0,2013
Thlangisa,1/04/2014,NA,2,NA,2,NA,2014
Toulon,1/10/1995,11,NA,NA,NA,0,1995
Toulon,1/09/1996,15,1,1,NA,0,1996
Toulon,1/12/1997,13,NA,NA,NA,0,1997
Toulon,1/01/1999,24,1,1,NA,1,1999
Toulon,1/01/2001,5,NA,NA,NA,0,2001
Toulon,1/06/2001,8,NA,NA,NA,0,2001
Toulon,1/02/2002,9,NA,NA,NA,0,2002
Toulon,1/11/2002,27,2,1,NA,1,2002
Toulon,1/02/2005,4,NA,NA,NA,0,2005
Toulon,1/06/2005,NA,2,1,NA,1,2005
Tugwaan_Y._Female,1/02/2001,NA,2,NA,NA,0,2001
Tutlwa,1/08/2010,10,1,NA,NA,0,2010
Tutlwa,1/06/2011,19,2,1,1,2,2011
Tutlwa,1/01/2013,6,3,NA,NA,0,2013
Tutlwa,1/07/2013,NA,2,1,1,0,2013
Vomba,1/09/2001,13,NA,NA,NA,0,2001
Vomba,1/10/2002,8,NA,NA,NA,0,2002
Vomba,1/06/2003,17,2,NA,1,1,2003
Vomba,1/11/2004,12,NA,NA,NA,0,2004
Vomba,1/11/2005,4,NA,NA,NA,0,2005
Vomba,1/03/2006,30,2,1,1,2,2006
Vomba,1/09/2008,15,1,NA,1,1,2008
Vomba,1/12/2009,13,NA,NA,NA,0,2009
Vomba,1/01/2011,17,NA,NA,NA,0,2011
Vomba,1/06/2012,NA,1,1,NA,1,2012
White_Cloth,1/07/1997,39,1,1,NA,1,1997
White_Cloth,1/10/2000,30,2,1,1,2,2000
White_Cloth,1/04/2003,32,2,1,1,1,2003
White_Cloth,1/12/2005,36,2,1,1,0,2005
White_Cloth,1/12/2008,NA,1,1,NA,1,2008
White_Dam,1/05/2012,9,2,NA,NA,0,2012
White_Dam,1/02/2013,11,1,NA,NA,0,2013
White_Dam,1/01/2014,11,NA,NA,NA,0,2014
White_Dam,1/12/2014,NA,2,NA,NA,NA,2014
Wilson's_Pan,1/06/2006,24,1,NA,1,1,2006
Wilson's_Pan,1/06/2008,7,NA,NA,NA,0,2008
Wilson's_Pan,1/01/2009,17,2,NA,2,2,2009
Wilson's_Pan,1/06/2010,20,1,1,NA,1,2010
Wilson's_Pan,1/02/2012,22,2,1,1,2,2012
Wilson's_Pan,1/12/2013,14,NA,NA,NA,0,2013
Wilson's_Pan,1/02/2015,NA,NA,NA,NA,NA,2015
Xikavi,1/03/2010,14,NA,NA,NA,0,2010
Xikavi,1/05/2011,8,1,NA,NA,0,2011
Xikavi,1/01/2012,20,NA,NA,NA,0,2012
Xikavi,1/09/2013,8,2,NA,NA,0,2013
Xikavi,1/05/2014,5,NA,NA,NA,0,2014
Xikavi,1/10/2014,7,3,NA,NA,0,2014
Xikavi,1/05/2015,NA,NA,NA,NA,NA,2015
Y._Female,1/07/1984,14,2,NA,NA,0,1984
Y._Female,1/09/1985,10,1,NA,NA,0,1985
Y._Female,1/07/1986,17,1,1,NA,1,1986
Y._Female,1/12/1987,NA,1,NA,1,0,1987
Young_Nottens,1/11/2001,33,2,2,NA,2,2001
Young_Nottens,1/08/2004,14,NA,NA,NA,0,2004
Young_Nottens,1/10/2005,13,NA,NA,NA,0,2005
Young_Nottens,1/11/2006,19,2,NA,1,1,2006
Young_Nottens,1/06/2008,9,3,NA,NA,0,2008
Young_Nottens,1/03/2009,10,2,NA,NA,0,2009
Young_Nottens,1/01/2010,26,2,2,NA,1,2010
Young_Nottens,1/03/2012,25,2,NA,1,0,2012
Young_Nottens,1/04/2014,NA,2,1,NA,0,2014
