"ID","SEX","D.O.B","MONITOR.START.YEAR","MONITOR.START.YR","MONITOR.END.YEAR","MONITOR.END.YR","AGE.START.MONTHS","AGE.CLASS.START","CATEGORY.START","AGE.DEATH.MONTHS","AGE.MONTHS","AGE.CLASS.DEATH","CATEGORY.DEATH","FATE","CENSUS.STATUS","AGE.MET"
1,"MALE","01/10/1995","01/10/1995",1995,"01/06/2004",2004,0,"CUB","MALE_CUB",104,84,"ADULT_84","MALE_ADULT_84","MORTALITY",1,0
2,"FEMALE","01/10/1995","01/10/1995",1995,"01/12/2013",2013,0,"CUB","FEMALE_CUB",218,84,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0
6,"MALE","01/09/1998","01/09/1998",1998,"01/01/2009",2009,0,"CUB","MALE_CUB",124,84,"ADULT_84","MALE_ADULT_84","MORTALITY",1,0
7,"FEMALE","01/09/1998","01/09/1998",1998,"01/01/2015",2015,0,"CUB","FEMALE_CUB",196,84,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
23,"FEMALE","01/10/2004","01/10/2004",2004,"01/01/2008",2008,0,"CUB","FEMALE_CUB",39,39,"ADULT_36_48","FEMALE_ADULT_36_48","MORTALITY",1,1
24,"FEMALE","01/10/2004","01/10/2004",2004,"01/01/2015",2015,0,"CUB","FEMALE_CUB",123,84,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
25,"FEMALE","01/07/2007","01/07/2007",2007,"01/01/2015",2015,0,"CUB","FEMALE_CUB",90,84,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
42,"MALE","01/10/2006","01/10/2006",2006,"01/01/2015",2015,0,"CUB","MALE_CUB",99,84,"ADULT_84","MALE_ADULT_84","CENSORED",0,0
43,"MALE","01/10/2006","01/10/2006",2006,"01/01/2015",2015,0,"CUB","MALE_CUB",99,84,"ADULT_84","MALE_ADULT_84","CENSORED",0,0
45,"MALE","01/07/2009","01/07/2009",2009,"01/01/2015",2015,0,"CUB","MALE_CUB",66,66,"ADULT_60_72","MALE_ADULT_60_72","CENSORED",0,1
58,"MALE","01/03/2011","01/03/2011",2011,"01/01/2015",2015,0,"CUB","MALE_CUB",46,46,"ADULT_36_48","MALE_ADULT_36_48","CENSORED",0,1
62,"FEMALE","01/04/2004","01/04/2004",2004,"01/05/2007",2007,0,"CUB","FEMALE_CUB",37,37,"ADULT_36_48","FEMALE_ADULT_36_48","CENSORED",0,1
63,"FEMALE","01/04/2004","01/04/2004",2004,"01/03/2013",2013,0,"CUB","FEMALE_CUB",107,84,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0
71,"FEMALE","01/07/2011","01/07/2011",2011,"01/09/2014",2014,0,"CUB","FEMALE_CUB",38,38,"ADULT_36_48","FEMALE_ADULT_36_48","CENSORED",0,1
76,"FEMALE","01/11/1999","01/11/1999",1999,"01/01/2015",2015,0,"CUB","FEMALE_CUB",182,84,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
78,"FEMALE","01/11/2001","01/11/2001",2001,"01/07/2005",2005,0,"CUB","FEMALE_CUB",44,44,"ADULT_36_48","FEMALE_ADULT_36_48","MORTALITY",1,1
81,"MALE","01/06/2005","01/06/2005",2005,"01/01/2015",2015,0,"CUB","MALE_CUB",115,84,"ADULT_84","MALE_ADULT_84","CENSORED",0,0
85,"FEMALE","01/02/2007","01/02/2007",2007,"01/06/2013",2013,0,"CUB","FEMALE_CUB",76,76,"ADULT_72_84","FEMALE_ADULT_72_84","CENSORED",0,1
86,"FEMALE","01/02/2007","01/02/2007",2007,"01/01/2015",2015,0,"CUB","FEMALE_CUB",95,84,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
87,"MALE","01/11/2008","01/11/2008",2008,"01/01/2015",2015,0,"CUB","MALE_CUB",74,74,"ADULT_72_84","MALE_ADULT_72_84","CENSORED",0,1
88,"MALE","01/11/2008","01/11/2008",2008,"01/01/2015",2015,0,"CUB","MALE_CUB",74,74,"ADULT_72_84","MALE_ADULT_72_84","CENSORED",0,1
90,"MALE","01/10/2010","01/10/2010",2010,"01/01/2015",2015,0,"CUB","MALE_CUB",51,51,"ADULT_48_60","MALE_ADULT_48_60","CENSORED",0,1
95,"MALE","01/02/2006","01/02/2006",2006,"01/01/2015",2015,0,"CUB","MALE_CUB",107,84,"ADULT_84","MALE_ADULT_84","CENSORED",0,0
97,"MALE","01/02/2008","01/02/2008",2008,"01/12/2011",2011,0,"CUB","MALE_CUB",46,46,"ADULT_36_48","MALE_ADULT_36_48","CENSORED",0,1
100,"FEMALE","01/01/2010","01/01/2010",2010,"01/01/2015",2015,0,"CUB","FEMALE_CUB",60,60,"ADULT_48_60","FEMALE_ADULT_48_60","CENSORED",0,1
137,"FEMALE","01/12/2001","01/12/2001",2001,"01/03/2012",2012,0,"CUB","FEMALE_CUB",123,84,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0
138,"FEMALE","01/12/2001","01/12/2001",2001,"01/06/2013",2013,0,"CUB","FEMALE_CUB",138,84,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0
142,"FEMALE","01/05/2006","01/05/2006",2006,"01/01/2015",2015,0,"CUB","FEMALE_CUB",104,84,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
149,"FEMALE","01/11/2006","01/11/2006",2006,"01/04/2014",2014,0,"CUB","FEMALE_CUB",89,84,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0
150,"FEMALE","01/04/2009","01/04/2009",2009,"01/01/2015",2015,0,"CUB","FEMALE_CUB",69,69,"ADULT_60_72","FEMALE_ADULT_60_72","CENSORED",0,1
160,"MALE","01/08/2008","01/08/2008",2008,"01/08/2012",2012,0,"CUB","MALE_CUB",48,48,"ADULT_36_48","MALE_ADULT_36_48","CENSORED",0,1
172,"FEMALE","01/09/1979","01/09/1979",1979,"01/11/1982",1982,0,"CUB","FEMALE_CUB",38,38,"ADULT_36_48","FEMALE_ADULT_36_48","MORTALITY",1,1
173,"FEMALE","01/09/1979","01/09/1979",1979,"01/06/1984",1984,0,"CUB","FEMALE_CUB",57,57,"ADULT_48_60","FEMALE_ADULT_48_60","CENSORED",0,1
175,"FEMALE","01/08/1981","01/08/1981",1981,"01/06/1988",1988,0,"CUB","FEMALE_CUB",82,82,"ADULT_72_84","FEMALE_ADULT_72_84","MORTALITY",1,1
180,"FEMALE","01/04/1984","01/04/1984",1984,"01/11/2000",2000,0,"CUB","FEMALE_CUB",199,84,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0
182,"FEMALE","01/10/1985","01/10/1985",1985,"01/04/1991",1991,0,"CUB","FEMALE_CUB",66,66,"ADULT_60_72","FEMALE_ADULT_60_72","MORTALITY",1,1
187,"FEMALE","01/08/1988","01/08/1988",1988,"01/06/1993",1993,0,"CUB","FEMALE_CUB",58,58,"ADULT_48_60","FEMALE_ADULT_48_60","MORTALITY",1,1
198,"MALE","01/04/2006","01/04/2006",2006,"01/02/2013",2013,0,"CUB","MALE_CUB",82,82,"ADULT_72_84","MALE_ADULT_72_84","CENSORED",0,1
199,"MALE","01/09/2008","01/09/2008",2008,"01/01/2015",2015,0,"CUB","MALE_CUB",76,76,"ADULT_72_84","MALE_ADULT_72_84","CENSORED",0,1
200,"MALE","01/09/2008","01/09/2008",2008,"01/01/2015",2015,0,"CUB","MALE_CUB",76,76,"ADULT_72_84","MALE_ADULT_72_84","CENSORED",0,1
209,"FEMALE","01/12/1997","01/12/1997",1997,"01/07/2013",2013,0,"CUB","FEMALE_CUB",187,84,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0
212,"FEMALE","01/10/1999","01/10/1999",1999,"01/05/2013",2013,0,"CUB","FEMALE_CUB",163,84,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0
215,"FEMALE","01/11/2001","01/11/2001",2001,"01/01/2015",2015,0,"CUB","FEMALE_CUB",158,84,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
224,"FEMALE","01/10/2007","01/10/2007",2007,"01/01/2015",2015,0,"CUB","FEMALE_CUB",87,84,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
225,"FEMALE","01/11/1998","01/11/1998",1998,"01/03/2002",2002,0,"CUB","FEMALE_CUB",40,40,"ADULT_36_48","FEMALE_ADULT_36_48","MORTALITY",1,1
226,"FEMALE","01/11/1998","01/11/1998",1998,"01/01/2015",2015,0,"CUB","FEMALE_CUB",194,84,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
249,"FEMALE","01/07/2009","01/07/2009",2009,"01/01/2015",2015,0,"CUB","FEMALE_CUB",66,66,"ADULT_60_72","FEMALE_ADULT_60_72","CENSORED",0,1
250,"MALE","01/07/2009","01/07/2009",2009,"01/01/2015",2015,0,"CUB","MALE_CUB",66,66,"ADULT_60_72","MALE_ADULT_60_72","CENSORED",0,1
268,"MALE","01/12/2007","01/12/2007",2007,"01/02/2012",2012,0,"CUB","MALE_CUB",50,50,"ADULT_48_60","MALE_ADULT_48_60","CENSORED",0,1
277,"FEMALE","01/05/2006","01/05/2006",2006,"01/03/2012",2012,0,"CUB","FEMALE_CUB",70,70,"ADULT_60_72","FEMALE_ADULT_60_72","MORTALITY",1,1
293,"FEMALE","01/03/2004","01/03/2004",2004,"01/01/2015",2015,0,"CUB","FEMALE_CUB",130,84,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
295,"MALE","01/12/2005","01/12/2005",2005,"01/01/2010",2010,0,"CUB","MALE_CUB",49,49,"ADULT_48_60","MALE_ADULT_48_60","CENSORED",0,1
301,"FEMALE","01/04/2009","01/04/2009",2009,"01/01/2015",2015,0,"CUB","FEMALE_CUB",69,69,"ADULT_60_72","FEMALE_ADULT_60_72","CENSORED",0,1
313,"FEMALE","01/01/2003","01/01/2003",2003,"01/06/2011",2011,0,"CUB","FEMALE_CUB",101,84,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0
317,"FEMALE","01/04/2005","01/04/2005",2005,"01/01/2015",2015,0,"CUB","FEMALE_CUB",117,84,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
338,"FEMALE","01/12/2003","01/12/2003",2003,"01/07/2010",2010,0,"CUB","FEMALE_CUB",79,79,"ADULT_72_84","FEMALE_ADULT_72_84","MORTALITY",1,1
339,"MALE","01/12/2003","01/12/2003",2003,"01/12/2010",2010,0,"CUB","MALE_CUB",84,84,"ADULT_72_84","MALE_ADULT_72_84","MORTALITY",1,0
342,"FEMALE","01/09/2005","01/09/2005",2005,"01/01/2015",2015,0,"CUB","FEMALE_CUB",112,84,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
353,"FEMALE","01/11/1998","01/11/1998",1998,"01/10/2012",2012,0,"CUB","FEMALE_CUB",167,84,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0
354,"MALE","01/12/2000","01/12/2000",2000,"01/01/2015",2015,0,"CUB","MALE_CUB",169,84,"ADULT_84","MALE_ADULT_84","CENSORED",0,0
365,"MALE","01/12/2010","01/12/2010",2010,"01/04/2014",2014,0,"CUB","MALE_CUB",40,40,"ADULT_36_48","MALE_ADULT_36_48","MORTALITY",1,1
395,"FEMALE","01/06/2011","01/06/2011",2011,"01/01/2015",2015,0,"CUB","FEMALE_CUB",43,43,"ADULT_36_48","FEMALE_ADULT_36_48","CENSORED",0,1
396,"MALE","01/06/2011","01/06/2011",2011,"01/01/2015",2015,0,"CUB","MALE_CUB",43,43,"ADULT_36_48","MALE_ADULT_36_48","CENSORED",0,1
407,"FEMALE","01/06/2003","01/06/2003",2003,"01/06/2007",2007,0,"CUB","FEMALE_CUB",48,48,"ADULT_36_48","FEMALE_ADULT_36_48","MORTALITY",1,1
412,"MALE","01/03/2006","01/03/2006",2006,"01/07/2009",2009,0,"CUB","MALE_CUB",40,40,"ADULT_36_48","MALE_ADULT_36_48","CENSORED",0,1
413,"FEMALE","01/03/2006","01/03/2006",2006,"01/01/2015",2015,0,"CUB","FEMALE_CUB",106,84,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
414,"FEMALE","01/09/2008","01/09/2008",2008,"01/01/2015",2015,0,"CUB","FEMALE_CUB",76,76,"ADULT_72_84","FEMALE_ADULT_72_84","CENSORED",0,1
422,"FEMALE","01/10/2000","01/10/2000",2000,"01/01/2015",2015,0,"CUB","FEMALE_CUB",171,84,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0
424,"MALE","01/04/2003","01/04/2003",2003,"01/12/2011",2011,0,"CUB","MALE_CUB",104,84,"ADULT_84","MALE_ADULT_84","CENSORED",0,0
438,"FEMALE","01/01/2009","01/01/2009",2009,"01/12/2013",2013,0,"CUB","FEMALE_CUB",59,59,"ADULT_48_60","FEMALE_ADULT_48_60","CENSORED",0,1
439,"FEMALE","01/01/2009","01/01/2009",2009,"01/01/2015",2015,0,"CUB","FEMALE_CUB",72,72,"ADULT_60_72","FEMALE_ADULT_60_72","CENSORED",0,1
440,"MALE","01/06/2010","01/06/2010",2010,"01/01/2015",2015,0,"CUB","MALE_CUB",55,55,"ADULT_48_60","MALE_ADULT_48_60","CENSORED",0,1
460,"MALE","01/07/1986","01/07/1986",1986,"01/06/1998",1998,0,"CUB","MALE_CUB",143,84,"ADULT_84","MALE_ADULT_84","MORTALITY",1,0
469,"FEMALE","01/11/2006","01/11/2006",2006,"01/07/2011",2011,0,"CUB","FEMALE_CUB",56,56,"ADULT_48_60","FEMALE_ADULT_48_60","CENSORED",0,1
475,"MALE","01/01/2010","01/01/2010",2010,"01/01/2015",2015,0,"CUB","MALE_CUB",60,60,"ADULT_48_60","MALE_ADULT_48_60","CENSORED",0,1
