"ID","SEX","D.O.B","MONITOR.START.YEAR","MONITOR.START.YR","MONITOR.END.YEAR","MONITOR.END.YR","AGE.START.MONTHS","AGE.CLASS.START","CATEGORY.START","AGE.DEATH.MONTHS","AGE.MONTHS","AGE.CLASS.DEATH","CATEGORY.DEATH","FATE","CENSUS.STATUS","AGE.MET","MOTHER","LITTER","MOTHER.AGE.LITTER","MOTHER.AGE.CLASS.LITTER","SURVIVED.12","SURVIVED.24"
1,"MALE","01/10/1995","01/10/1995",1995,"01/06/2004",2004,0,"CUB","MALE_CUB",104,12,"ADULT_84","MALE_ADULT_84","MORTALITY",1,0,"3_4",1,38,"ADULT_36_48",1,1
2,"FEMALE","01/10/1995","01/10/1995",1995,"01/12/2013",2013,0,"CUB","FEMALE_CUB",218,12,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0,"3_4",1,38,"ADULT_36_48",1,1
3,NA,"01/10/1997","01/10/1997",1997,"01/11/1997",1997,0,"CUB","NA_CUB",1,1,"CUB","NA_CUB","MORTALITY",1,1,"3_4",2,62,"ADULT_60_72",0,0
4,NA,"01/10/1997","01/10/1997",1997,"01/11/1997",1997,0,"CUB","NA_CUB",1,1,"CUB","NA_CUB","MORTALITY",1,1,"3_4",2,62,"ADULT_60_72",0,0
5,"MALE","01/03/1998","01/03/1998",1998,"01/04/1998",1998,0,"CUB","MALE_CUB",1,1,"CUB","MALE_CUB","MORTALITY",1,1,"3_4",3,67,"ADULT_60_72",0,0
6,"MALE","01/09/1998","01/09/1998",1998,"01/01/2009",2009,0,"CUB","MALE_CUB",124,12,"ADULT_84","MALE_ADULT_84","MORTALITY",1,0,"3_4",4,73,"ADULT_72_84",1,1
7,"FEMALE","01/09/1998","01/09/1998",1998,"01/01/2015",2015,0,"CUB","FEMALE_CUB",196,12,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0,"3_4",4,73,"ADULT_72_84",1,1
8,"FEMALE","01/09/2001","01/09/2001",2001,"12/12/2001",2001,0,"CUB","FEMALE_CUB",3,3,"CUB","FEMALE_CUB","MORTALITY",1,1,"3_4",5,109,"ADULT_84",0,0
9,"MALE","01/09/2001","01/09/2001",2001,"01/06/2002",2002,0,"CUB","MALE_CUB",9,9,"CUB","MALE_CUB","MORTALITY",1,1,"3_4",5,109,"ADULT_84",0,0
10,NA,"01/12/2002","01/12/2002",2002,"01/03/2003",2003,0,"CUB","NA_CUB",3,3,"CUB","NA_CUB","MORTALITY",1,1,"3_4",6,124,"ADULT_84",0,0
11,NA,"01/12/2002","01/12/2002",2002,"01/03/2003",2003,0,"CUB","NA_CUB",3,3,"CUB","NA_CUB","MORTALITY",1,1,"3_4",6,124,"ADULT_84",0,0
12,NA,"01/09/2003","01/09/2003",2003,"01/10/2003",2003,0,"CUB","NA_CUB",1,1,"CUB","NA_CUB","MORTALITY",1,1,"3_4",7,133,"ADULT_84",0,0
13,NA,"01/09/2003","01/09/2003",2003,"01/10/2003",2003,0,"CUB","NA_CUB",1,1,"CUB","NA_CUB","MORTALITY",1,1,"3_4",7,133,"ADULT_84",0,0
14,NA,"01/02/2004","01/02/2004",2004,"01/04/2004",2004,0,"CUB","NA_CUB",2,2,"CUB","NA_CUB","MORTALITY",1,1,"3_4",8,138,"ADULT_84",0,0
15,"FEMALE","01/02/2004","01/02/2004",2004,"01/10/2004",2004,0,"CUB","FEMALE_CUB",8,8,"CUB","FEMALE_CUB","MORTALITY",1,1,"3_4",8,138,"ADULT_84",0,0
16,NA,"01/12/2004","01/12/2004",2004,"01/01/2005",2005,0,"CUB","NA_CUB",1,1,"CUB","NA_CUB","MORTALITY",1,1,"3_4",9,148,"ADULT_84",0,0
17,NA,"02/12/2004","02/12/2004",2004,"01/01/2005",2005,0,"CUB","NA_CUB",1,1,"CUB","NA_CUB","MORTALITY",1,1,"3_4",9,148,"ADULT_84",0,0
18,NA,"01/02/2006","01/02/2006",2006,"01/04/2006",2006,0,"CUB","NA_CUB",2,2,"CUB","NA_CUB","MORTALITY",1,1,"3_4",10,162,"ADULT_84",0,0
19,NA,"01/02/2006","01/02/2006",2006,"01/04/2006",2006,0,"CUB","NA_CUB",2,2,"CUB","NA_CUB","MORTALITY",1,1,"3_4",10,162,"ADULT_84",0,0
20,"MALE","01/02/2007","01/02/2007",2007,"01/02/2008",2008,0,"CUB","MALE_CUB",12,12,"CUB","MALE_CUB","MORTALITY",1,1,"3_4",11,174,"ADULT_84",1,0
21,NA,"01/02/2004","01/02/2004",2004,"01/04/2004",2004,0,"CUB","NA_CUB",2,2,"CUB","NA_CUB","MORTALITY",1,1,"Campbell_Koppies",1,52,"ADULT_48_60",0,0
22,NA,"01/02/2004","01/02/2004",2004,"01/04/2004",2004,0,"CUB","NA_CUB",2,2,"CUB","NA_CUB","MORTALITY",1,1,"Campbell_Koppies",1,52,"ADULT_48_60",0,0
23,"FEMALE","01/10/2004","01/10/2004",2004,"01/01/2008",2008,0,"CUB","FEMALE_CUB",39,12,"ADULT_36_48","FEMALE_ADULT_36_48","MORTALITY",1,0,"Campbell_Koppies",2,60,"ADULT_48_60",1,1
24,"FEMALE","01/10/2004","01/10/2004",2004,"01/01/2015",2015,0,"CUB","FEMALE_CUB",123,12,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0,"Campbell_Koppies",2,60,"ADULT_48_60",1,1
25,"FEMALE","01/07/2007","01/07/2007",2007,"01/01/2015",2015,0,"CUB","FEMALE_CUB",90,12,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0,"Campbell_Koppies",3,93,"ADULT_84",1,1
26,NA,"01/02/2009","01/02/2009",2009,"01/04/2009",2009,0,"CUB","NA_CUB",2,2,"CUB","NA_CUB","MORTALITY",1,1,"Campbell_Koppies",4,112,"ADULT_84",0,0
27,NA,"01/02/2009","01/02/2009",2009,"01/08/2009",2009,0,"CUB","NA_CUB",6,6,"CUB","NA_CUB","MORTALITY",1,1,"Campbell_Koppies",4,112,"ADULT_84",0,0
28,NA,"01/02/2009","01/02/2009",2009,"01/08/2009",2009,0,"CUB","NA_CUB",6,6,"CUB","NA_CUB","MORTALITY",1,1,"Campbell_Koppies",4,112,"ADULT_84",0,0
29,NA,"01/11/2009","01/11/2009",2009,"01/06/2010",2010,0,"CUB","NA_CUB",7,7,"CUB","NA_CUB","MORTALITY",1,1,"Campbell_Koppies",5,121,"ADULT_84",0,0
30,NA,"01/11/2009","01/11/2009",2009,"01/07/2010",2010,0,"CUB","NA_CUB",8,8,"CUB","NA_CUB","MORTALITY",1,1,"Campbell_Koppies",5,121,"ADULT_84",0,0
31,NA,"01/12/2010","01/12/2010",2010,"01/02/2011",2011,0,"CUB","NA_CUB",2,2,"CUB","NA_CUB","MORTALITY",1,1,"Campbell_Koppies",6,134,"ADULT_84",0,0
32,NA,"01/12/2010","01/12/2010",2010,"01/02/2011",2011,0,"CUB","NA_CUB",2,2,"CUB","NA_CUB","MORTALITY",1,1,"Campbell_Koppies",6,134,"ADULT_84",0,0
33,NA,"01/05/2011","01/05/2011",2011,"01/09/2011",2011,0,"CUB","NA_CUB",4,4,"CUB","NA_CUB","MORTALITY",1,1,"Campbell_Koppies",7,139,"ADULT_84",0,0
34,NA,"01/05/2011","01/05/2011",2011,"01/09/2011",2011,0,"CUB","NA_CUB",4,4,"CUB","NA_CUB","MORTALITY",1,1,"Campbell_Koppies",7,139,"ADULT_84",0,0
35,NA,"01/03/2013","01/03/2013",2013,"01/04/2013",2013,0,"CUB","NA_CUB",1,1,"CUB","NA_CUB","MORTALITY",1,1,"Campbell_Koppies",8,161,"ADULT_84",0,0
36,"FEMALE","01/12/2002","01/12/2002",2002,"01/04/2003",2003,0,"CUB","FEMALE_CUB",4,4,"CUB","FEMALE_CUB","MORTALITY",1,1,"Dudley_Riverbank",1,51,"ADULT_48_60",0,0
37,"MALE","01/12/2002","01/12/2002",2002,"01/09/2003",2003,0,"CUB","MALE_CUB",9,9,"CUB","MALE_CUB","MORTALITY",1,1,"Dudley_Riverbank",1,51,"ADULT_48_60",0,0
38,NA,"01/12/2004","01/12/2004",2004,"01/03/2005",2005,0,"CUB","NA_CUB",3,3,"CUB","NA_CUB","MORTALITY",1,1,"Dudley_Riverbank",2,75,"ADULT_72_84",0,0
39,NA,"01/12/2004","01/12/2004",2004,"01/03/2005",2005,0,"CUB","NA_CUB",3,3,"CUB","NA_CUB","MORTALITY",1,1,"Dudley_Riverbank",2,75,"ADULT_72_84",0,0
40,NA,"01/11/2005","01/11/2005",2005,"01/01/2006",2006,0,"CUB","NA_CUB",2,2,"CUB","NA_CUB","MORTALITY",1,1,"Dudley_Riverbank",3,86,"ADULT_84",0,0
41,NA,"01/11/2005","01/11/2005",2005,"01/01/2006",2006,0,"CUB","NA_CUB",2,2,"CUB","NA_CUB","MORTALITY",1,1,"Dudley_Riverbank",3,86,"ADULT_84",0,0
42,"MALE","01/10/2006","01/10/2006",2006,"01/01/2015",2015,0,"CUB","MALE_CUB",99,12,"ADULT_84","MALE_ADULT_84","CENSORED",0,0,"Dudley_Riverbank",4,97,"ADULT_84",1,1
43,"MALE","01/10/2006","01/10/2006",2006,"01/01/2015",2015,0,"CUB","MALE_CUB",99,12,"ADULT_84","MALE_ADULT_84","CENSORED",0,0,"Dudley_Riverbank",4,97,"ADULT_84",1,1
44,"FEMALE","01/07/2009","01/07/2009",2009,"01/10/2009",2009,0,"CUB","FEMALE_CUB",3,3,"CUB","FEMALE_CUB","MORTALITY",1,1,"Dudley_Riverbank",5,130,"ADULT_84",0,0
45,"MALE","01/07/2009","01/07/2009",2009,"01/01/2015",2015,0,"CUB","MALE_CUB",66,12,"ADULT_60_72","MALE_ADULT_60_72","CENSORED",0,0,"Dudley_Riverbank",5,130,"ADULT_84",1,1
46,"FEMALE","01/03/2012","01/03/2012",2012,"01/01/2015",2015,0,"CUB","FEMALE_CUB",34,12,"SUBADULT","FEMALE_SUBADULT","CENSORED",0,0,"Dudley_Riverbank",6,163,"ADULT_84",1,1
47,NA,"01/06/2011","01/06/2011",2011,"01/10/2011",2011,0,"CUB","NA_CUB",4,4,"CUB","NA_CUB","MORTALITY",1,1,"Flockfield",1,86,"ADULT_84",0,0
48,"MALE","01/06/2011","01/06/2011",2011,"01/02/2012",2012,0,"CUB","MALE_CUB",8,8,"CUB","MALE_CUB","CENSORED",0,1,"Flockfield",1,86,"ADULT_84",0,0
49,"FEMALE","01/01/2010","01/01/2010",2010,"01/02/2011",2011,0,"CUB","FEMALE_CUB",13,12,"JUVENILE","FEMALE_JUVENILE","MORTALITY",1,0,"Hlabankunzi",1,44,"ADULT_36_48",1,0
50,"FEMALE","01/01/2010","01/01/2010",2010,"01/04/2011",2011,0,"CUB","FEMALE_CUB",15,12,"JUVENILE","FEMALE_JUVENILE","MORTALITY",1,0,"Hlabankunzi",1,44,"ADULT_36_48",1,0
51,NA,"01/12/2011","01/12/2011",2011,"01/02/2012",2012,0,"CUB","NA_CUB",2,2,"CUB","NA_CUB","MORTALITY",1,1,"Hlabankunzi",2,67,"ADULT_60_72",0,0
52,"FEMALE","01/09/2012","01/09/2012",2012,"01/01/2015",2015,0,"CUB","FEMALE_CUB",28,12,"SUBADULT","FEMALE_SUBADULT","CENSORED",0,0,"Hlabankunzi",3,76,"ADULT_72_84",1,1
53,NA,"01/02/2014","01/02/2014",2014,"01/06/2014",2014,0,"CUB","NA_CUB",4,4,"CUB","NA_CUB","MORTALITY",1,1,"Hlabankunzi",4,93,"ADULT_84",0,0
54,NA,"01/02/2014","01/02/2014",2014,"01/07/2014",2014,0,"CUB","NA_CUB",5,5,"CUB","NA_CUB","MORTALITY",1,1,"Hlabankunzi",4,93,"ADULT_84",0,0
55,NA,"01/12/2014","01/12/2014",2014,"01/01/2015",2015,0,"CUB","NA_CUB",1,1,"CUB","NA_CUB","CENSORED",0,1,"Hlabankunzi",5,103,"ADULT_84",0,0
56,NA,"01/12/2014","01/12/2014",2014,"01/01/2015",2015,0,"CUB","NA_CUB",1,1,"CUB","NA_CUB","CENSORED",0,1,"Hlabankunzi",5,103,"ADULT_84",0,0
57,"MALE","01/02/2010","01/02/2010",2010,"01/07/2010",2010,0,"CUB","MALE_CUB",5,5,"CUB","MALE_CUB","MORTALITY",1,1,"Inkanyeni",1,59,"ADULT_48_60",0,0
58,"MALE","01/03/2011","01/03/2011",2011,"01/01/2015",2015,0,"CUB","MALE_CUB",46,12,"ADULT_36_48","MALE_ADULT_36_48","CENSORED",0,0,"Inkanyeni",2,72,"ADULT_60_72",1,1
59,NA,"01/12/2012","01/12/2012",2012,"01/02/2013",2013,0,"CUB","NA_CUB",2,2,"CUB","NA_CUB","MORTALITY",1,1,"Inkanyeni",3,93,"ADULT_84",0,0
60,"FEMALE","01/10/2013","01/10/2013",2013,"01/01/2015",2015,0,"CUB","FEMALE_CUB",15,12,"JUVENILE","FEMALE_JUVENILE","CENSORED",0,0,"Inkanyeni",4,103,"ADULT_84",1,0
61,"MALE","01/10/2013","01/10/2013",2013,"01/01/2015",2015,0,"CUB","MALE_CUB",15,12,"JUVENILE","MALE_JUVENILE","CENSORED",0,0,"Inkanyeni",4,103,"ADULT_84",1,0
62,"FEMALE","01/04/2004","01/04/2004",2004,"01/05/2007",2007,0,"CUB","FEMALE_CUB",37,12,"ADULT_36_48","FEMALE_ADULT_36_48","CENSORED",0,0,"Jakkalsdraai",1,53,"ADULT_48_60",1,1
63,"FEMALE","01/04/2004","01/04/2004",2004,"01/03/2013",2013,0,"CUB","FEMALE_CUB",107,12,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0,"Jakkalsdraai",1,53,"ADULT_48_60",1,1
64,NA,"01/06/2006","01/06/2006",2006,"01/07/2006",2006,0,"CUB","NA_CUB",1,1,"CUB","NA_CUB","MORTALITY",1,1,"Jakkalsdraai",2,79,"ADULT_72_84",0,0
65,NA,"01/06/2006","01/06/2006",2006,"01/07/2006",2006,0,"CUB","NA_CUB",1,1,"CUB","NA_CUB","MORTALITY",1,1,"Jakkalsdraai",2,79,"ADULT_72_84",0,0
66,NA,"01/01/2007","01/01/2007",2007,"01/02/2007",2007,0,"CUB","NA_CUB",1,1,"CUB","NA_CUB","MORTALITY",1,1,"Jakkalsdraai",3,86,"ADULT_84",0,0
67,NA,"01/01/2007","01/01/2007",2007,"01/02/2007",2007,0,"CUB","NA_CUB",1,1,"CUB","NA_CUB","MORTALITY",1,1,"Jakkalsdraai",3,86,"ADULT_84",0,0
68,"MALE","01/12/2008","01/12/2008",2008,"01/10/2010",2010,0,"CUB","MALE_CUB",22,12,"JUVENILE","MALE_JUVENILE","CENSORED",0,0,"Jakkalsdraai",4,109,"ADULT_84",1,0
69,NA,"01/08/2010","01/08/2010",2010,"01/11/2010",2010,0,"CUB","NA_CUB",3,3,"CUB","NA_CUB","MORTALITY",1,1,"Jakkalsdraai",5,129,"ADULT_84",0,0
70,"FEMALE","01/07/2011","01/07/2011",2011,"01/11/2011",2011,0,"CUB","FEMALE_CUB",4,4,"CUB","FEMALE_CUB","MORTALITY",1,1,"Jakkalsdraai",6,140,"ADULT_84",0,0
71,"FEMALE","01/07/2011","01/07/2011",2011,"01/09/2014",2014,0,"CUB","FEMALE_CUB",38,12,"ADULT_36_48","FEMALE_ADULT_36_48","CENSORED",0,0,"Jakkalsdraai",6,140,"ADULT_84",1,1
72,NA,"01/06/1997","01/06/1997",1997,"01/08/1997",1997,0,"CUB","NA_CUB",2,2,"CUB","NA_CUB","MORTALITY",1,1,"Kapen",1,45,"ADULT_36_48",0,0
73,NA,"01/06/1997","01/06/1997",1997,"01/08/1997",1997,0,"CUB","NA_CUB",2,2,"CUB","NA_CUB","MORTALITY",1,1,"Kapen",1,45,"ADULT_36_48",0,0
74,NA,"01/05/1998","01/05/1998",1998,"01/07/1998",1998,0,"CUB","NA_CUB",2,2,"CUB","NA_CUB","MORTALITY",1,1,"Kapen",2,56,"ADULT_48_60",0,0
75,NA,"01/05/1998","01/05/1998",1998,"01/07/1998",1998,0,"CUB","NA_CUB",2,2,"CUB","NA_CUB","MORTALITY",1,1,"Kapen",2,56,"ADULT_48_60",0,0
76,"FEMALE","01/11/1999","01/11/1999",1999,"01/01/2015",2015,0,"CUB","FEMALE_CUB",182,12,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0,"Kapen",3,74,"ADULT_72_84",1,1
77,NA,"01/11/2001","01/11/2001",2001,"01/03/2002",2002,0,"CUB","NA_CUB",4,4,"CUB","NA_CUB","MORTALITY",1,1,"Kapen",4,98,"ADULT_84",0,0
78,"FEMALE","01/11/2001","01/11/2001",2001,"01/07/2005",2005,0,"CUB","FEMALE_CUB",44,12,"ADULT_36_48","FEMALE_ADULT_36_48","MORTALITY",1,0,"Kapen",4,98,"ADULT_84",1,1
79,NA,"01/10/2004","01/10/2004",2004,"01/12/2004",2004,0,"CUB","NA_CUB",2,2,"CUB","NA_CUB","MORTALITY",1,1,"Kapen",5,133,"ADULT_84",0,0
80,NA,"01/10/2004","01/10/2004",2004,"01/12/2004",2004,0,"CUB","NA_CUB",2,2,"CUB","NA_CUB","MORTALITY",1,1,"Kapen",5,133,"ADULT_84",0,0
81,"MALE","01/06/2005","01/06/2005",2005,"01/01/2015",2015,0,"CUB","MALE_CUB",115,12,"ADULT_84","MALE_ADULT_84","CENSORED",0,0,"Kapen",6,141,"ADULT_84",1,1
82,NA,"01/01/2008","01/01/2008",2008,"01/03/2008",2008,0,"CUB","NA_CUB",2,2,"CUB","NA_CUB","MORTALITY",1,1,"Kapen",7,172,"ADULT_84",0,0
83,NA,"01/01/2008","01/01/2008",2008,"01/06/2008",2008,0,"CUB","NA_CUB",5,5,"CUB","NA_CUB","MORTALITY",1,1,"Kapen",7,172,"ADULT_84",0,0
84,NA,"01/01/2009","01/01/2009",2009,"01/04/2009",2009,0,"CUB","NA_CUB",3,3,"CUB","NA_CUB","MORTALITY",1,1,"Kapen",8,184,"ADULT_84",0,0
85,"FEMALE","01/02/2007","01/02/2007",2007,"01/06/2013",2013,0,"CUB","FEMALE_CUB",76,12,"ADULT_72_84","FEMALE_ADULT_72_84","CENSORED",0,0,"Karula",1,35,"SUBADULT",1,1
86,"FEMALE","01/02/2007","01/02/2007",2007,"01/01/2015",2015,0,"CUB","FEMALE_CUB",95,12,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0,"Karula",1,35,"SUBADULT",1,1
87,"MALE","01/11/2008","01/11/2008",2008,"01/01/2015",2015,0,"CUB","MALE_CUB",74,12,"ADULT_72_84","MALE_ADULT_72_84","CENSORED",0,0,"Karula",2,56,"ADULT_48_60",1,1
88,"MALE","01/11/2008","01/11/2008",2008,"01/01/2015",2015,0,"CUB","MALE_CUB",74,12,"ADULT_72_84","MALE_ADULT_72_84","CENSORED",0,0,"Karula",2,56,"ADULT_48_60",1,1
89,"FEMALE","01/10/2010","01/10/2010",2010,"01/03/2012",2012,0,"CUB","FEMALE_CUB",17,12,"JUVENILE","FEMALE_JUVENILE","CENSORED",0,0,"Karula",3,79,"ADULT_72_84",1,0
90,"MALE","01/10/2010","01/10/2010",2010,"01/01/2015",2015,0,"CUB","MALE_CUB",51,12,"ADULT_48_60","MALE_ADULT_48_60","CENSORED",0,0,"Karula",3,79,"ADULT_72_84",1,1
91,"MALE","01/12/2012","01/12/2012",2012,"01/01/2015",2015,0,"CUB","MALE_CUB",25,12,"SUBADULT","MALE_SUBADULT","CENSORED",0,0,"Karula",4,105,"ADULT_84",1,1
92,"MALE","01/12/2012","01/12/2012",2012,"01/01/2015",2015,0,"CUB","MALE_CUB",25,12,"SUBADULT","MALE_SUBADULT","CENSORED",0,0,"Karula",4,105,"ADULT_84",1,1
93,NA,"01/11/2014","01/11/2014",2014,"01/12/2014",2014,0,"CUB","NA_CUB",1,1,"CUB","NA_CUB","MORTALITY",1,1,"Karula",5,128,"ADULT_84",0,0
94,NA,"01/02/2006","01/02/2006",2006,"01/08/2006",2006,0,"CUB","NA_CUB",6,6,"CUB","NA_CUB","MORTALITY",1,1,"Kikilezi",1,51,"ADULT_48_60",0,0
95,"MALE","01/02/2006","01/02/2006",2006,"01/01/2015",2015,0,"CUB","MALE_CUB",107,12,"ADULT_84","MALE_ADULT_84","CENSORED",0,0,"Kikilezi",1,51,"ADULT_48_60",1,1
96,"MALE","01/02/2008","01/02/2008",2008,"01/08/2008",2008,0,"CUB","MALE_CUB",6,6,"CUB","MALE_CUB","MORTALITY",1,1,"Kikilezi",2,75,"ADULT_72_84",0,0
97,"MALE","01/02/2008","01/02/2008",2008,"01/12/2011",2011,0,"CUB","MALE_CUB",46,12,"ADULT_36_48","MALE_ADULT_36_48","CENSORED",0,0,"Kikilezi",2,75,"ADULT_72_84",1,1
98,"MALE","01/01/2010","01/01/2010",2010,"01/07/2010",2010,0,"CUB","MALE_CUB",6,6,"CUB","MALE_CUB","MORTALITY",1,1,"Kikilezi",3,98,"ADULT_84",0,0
99,"MALE","01/01/2010","01/01/2010",2010,"01/08/2010",2010,0,"CUB","MALE_CUB",7,7,"CUB","MALE_CUB","MORTALITY",1,1,"Kikilezi",3,98,"ADULT_84",0,0
100,"FEMALE","01/01/2010","01/01/2010",2010,"01/01/2015",2015,0,"CUB","FEMALE_CUB",60,12,"ADULT_48_60","FEMALE_ADULT_48_60","CENSORED",0,0,"Kikilezi",3,98,"ADULT_84",1,1
101,NA,"01/03/2012","01/03/2012",2012,"01/06/2012",2012,0,"CUB","NA_CUB",3,3,"CUB","NA_CUB","MORTALITY",1,1,"Kikilezi",4,124,"ADULT_84",0,0
102,"MALE","01/03/2012","01/03/2012",2012,"01/12/2012",2012,0,"CUB","MALE_CUB",9,9,"CUB","MALE_CUB","MORTALITY",1,1,"Kikilezi",4,124,"ADULT_84",0,0
103,NA,"01/07/2013","01/07/2013",2013,"01/08/2013",2013,0,"CUB","NA_CUB",1,1,"CUB","NA_CUB","MORTALITY",1,1,"Kikilezi",5,140,"ADULT_84",0,0
104,NA,"01/07/2013","01/07/2013",2013,"01/08/2013",2013,0,"CUB","NA_CUB",1,1,"CUB","NA_CUB","MORTALITY",1,1,"Kikilezi",5,140,"ADULT_84",0,0
105,"FEMALE","01/12/2013","01/12/2013",2013,"01/01/2015",2015,0,"CUB","FEMALE_CUB",13,12,"JUVENILE","FEMALE_JUVENILE","CENSORED",0,0,"Kikilezi",6,145,"ADULT_84",1,0
106,"MALE","01/12/2013","01/12/2013",2013,"01/01/2015",2015,0,"CUB","MALE_CUB",13,12,"JUVENILE","MALE_JUVENILE","CENSORED",0,0,"Kikilezi",6,145,"ADULT_84",1,0
107,"MALE","01/02/2009","01/02/2009",2009,"01/01/2011",2011,0,"CUB","MALE_CUB",23,12,"JUVENILE","MALE_JUVENILE","CENSORED",0,0,"KK",1,33,"SUBADULT",1,0
108,"MALE","01/02/2011","01/02/2011",2011,"01/11/2011",2011,0,"CUB","MALE_CUB",9,9,"CUB","MALE_CUB","MORTALITY",1,1,"Kwatile",1,43,"ADULT_36_48",0,0
109,NA,"01/02/2013","01/02/2013",2013,"01/07/2013",2013,0,"CUB","NA_CUB",5,5,"CUB","NA_CUB","MORTALITY",1,1,"Kwatile",2,67,"ADULT_60_72",0,0
110,"MALE","01/02/2014","01/02/2014",2014,"01/01/2015",2015,0,"CUB","MALE_CUB",11,11,"CUB","MALE_CUB","CENSORED",0,1,"Kwatile",3,79,"ADULT_72_84",0,0
111,"MALE","01/06/2011","01/06/2011",2011,"01/11/2012",2012,0,"CUB","MALE_CUB",17,12,"JUVENILE","MALE_JUVENILE","CENSORED",0,0,"Kwela_Kwela",1,61,"ADULT_60_72",1,0
112,"FEMALE","01/10/2013","01/10/2013",2013,"01/06/2014",2014,0,"CUB","FEMALE_CUB",8,8,"CUB","FEMALE_CUB","CENSORED",0,1,"Kwela_Kwela",2,89,"ADULT_84",0,0
113,NA,"01/08/2008","01/08/2008",2008,"01/02/2010",2010,0,"CUB","NA_CUB",18,12,"JUVENILE","NA_JUVENILE","CENSORED",0,0,"Little_Bush",1,38,"ADULT_36_48",1,0
114,"FEMALE","01/08/2010","01/08/2010",2010,"01/03/2011",2011,0,"CUB","FEMALE_CUB",7,7,"CUB","FEMALE_CUB","MORTALITY",1,1,"Little_Bush",2,62,"ADULT_60_72",0,0
115,NA,"01/12/2011","01/12/2011",2011,"01/03/2012",2012,0,"CUB","NA_CUB",3,3,"CUB","NA_CUB","MORTALITY",1,1,"Little_Bush",3,78,"ADULT_72_84",0,0
116,NA,"01/12/2011","01/12/2011",2011,"01/03/2012",2012,0,"CUB","NA_CUB",3,3,"CUB","NA_CUB","MORTALITY",1,1,"Little_Bush",3,78,"ADULT_72_84",0,0
117,NA,"01/01/2013","01/01/2013",2013,"01/06/2013",2013,0,"CUB","NA_CUB",5,5,"CUB","NA_CUB","MORTALITY",1,1,"Little_Bush",4,91,"ADULT_84",0,0
