"ID","SEX","D.O.B","MONITOR.START.YEAR","MONITOR.START.YR","MONITOR.END.YEAR","MONITOR.END.YR","AGE.START.MONTHS","AGE.CLASS.START","CATEGORY.START","AGE.DEATH.MONTHS","AGE.MONTHS","AGE.CLASS.DEATH","CATEGORY.DEATH","FATE","CENSUS.STATUS","AGE.MET","MOTHER.AGE.CLASS.LITTER","SURVIVED.24"
1,"MALE","01/10/1995","01/10/1995",1995,"01/06/2004",2004,0,"CUB","MALE_CUB",104,24,"ADULT_84","MALE_ADULT_84","MORTALITY",1,0,"ADULT_36_48",1
2,"FEMALE","01/10/1995","01/10/1995",1995,"01/12/2013",2013,0,"CUB","FEMALE_CUB",218,24,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0,"ADULT_36_48",1
6,"MALE","01/09/1998","01/09/1998",1998,"01/01/2009",2009,0,"CUB","MALE_CUB",124,24,"ADULT_84","MALE_ADULT_84","MORTALITY",1,0,"ADULT_72_84",1
7,"FEMALE","01/09/1998","01/09/1998",1998,"01/01/2015",2015,0,"CUB","FEMALE_CUB",196,24,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0,"ADULT_72_84",1
23,"FEMALE","01/10/2004","01/10/2004",2004,"01/01/2008",2008,0,"CUB","FEMALE_CUB",39,24,"ADULT_36_48","FEMALE_ADULT_36_48","MORTALITY",1,0,"ADULT_48_60",1
24,"FEMALE","01/10/2004","01/10/2004",2004,"01/01/2015",2015,0,"CUB","FEMALE_CUB",123,24,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0,"ADULT_48_60",1
25,"FEMALE","01/07/2007","01/07/2007",2007,"01/01/2015",2015,0,"CUB","FEMALE_CUB",90,24,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0,"ADULT_84",1
42,"MALE","01/10/2006","01/10/2006",2006,"01/01/2015",2015,0,"CUB","MALE_CUB",99,24,"ADULT_84","MALE_ADULT_84","CENSORED",0,0,"ADULT_84",1
43,"MALE","01/10/2006","01/10/2006",2006,"01/01/2015",2015,0,"CUB","MALE_CUB",99,24,"ADULT_84","MALE_ADULT_84","CENSORED",0,0,"ADULT_84",1
45,"MALE","01/07/2009","01/07/2009",2009,"01/01/2015",2015,0,"CUB","MALE_CUB",66,24,"ADULT_60_72","MALE_ADULT_60_72","CENSORED",0,0,"ADULT_84",1
46,"FEMALE","01/03/2012","01/03/2012",2012,"01/01/2015",2015,0,"CUB","FEMALE_CUB",34,24,"SUBADULT","FEMALE_SUBADULT","CENSORED",0,0,"ADULT_84",1
49,"FEMALE","01/01/2010","01/01/2010",2010,"01/02/2011",2011,0,"CUB","FEMALE_CUB",13,13,"JUVENILE","FEMALE_JUVENILE","MORTALITY",1,1,"ADULT_36_48",0
50,"FEMALE","01/01/2010","01/01/2010",2010,"01/04/2011",2011,0,"CUB","FEMALE_CUB",15,15,"JUVENILE","FEMALE_JUVENILE","MORTALITY",1,1,"ADULT_36_48",0
52,"FEMALE","01/09/2012","01/09/2012",2012,"01/01/2015",2015,0,"CUB","FEMALE_CUB",28,24,"SUBADULT","FEMALE_SUBADULT","CENSORED",0,0,"ADULT_72_84",1
58,"MALE","01/03/2011","01/03/2011",2011,"01/01/2015",2015,0,"CUB","MALE_CUB",46,24,"ADULT_36_48","MALE_ADULT_36_48","CENSORED",0,0,"ADULT_60_72",1
60,"FEMALE","01/10/2013","01/10/2013",2013,"01/01/2015",2015,0,"CUB","FEMALE_CUB",15,15,"JUVENILE","FEMALE_JUVENILE","CENSORED",0,1,"ADULT_84",0
61,"MALE","01/10/2013","01/10/2013",2013,"01/01/2015",2015,0,"CUB","MALE_CUB",15,15,"JUVENILE","MALE_JUVENILE","CENSORED",0,1,"ADULT_84",0
62,"FEMALE","01/04/2004","01/04/2004",2004,"01/05/2007",2007,0,"CUB","FEMALE_CUB",37,24,"ADULT_36_48","FEMALE_ADULT_36_48","CENSORED",0,0,"ADULT_48_60",1
63,"FEMALE","01/04/2004","01/04/2004",2004,"01/03/2013",2013,0,"CUB","FEMALE_CUB",107,24,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0,"ADULT_48_60",1
68,"MALE","01/12/2008","01/12/2008",2008,"01/10/2010",2010,0,"CUB","MALE_CUB",22,22,"JUVENILE","MALE_JUVENILE","CENSORED",0,1,"ADULT_84",0
71,"FEMALE","01/07/2011","01/07/2011",2011,"01/09/2014",2014,0,"CUB","FEMALE_CUB",38,24,"ADULT_36_48","FEMALE_ADULT_36_48","CENSORED",0,0,"ADULT_84",1
76,"FEMALE","01/11/1999","01/11/1999",1999,"01/01/2015",2015,0,"CUB","FEMALE_CUB",182,24,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0,"ADULT_72_84",1
78,"FEMALE","01/11/2001","01/11/2001",2001,"01/07/2005",2005,0,"CUB","FEMALE_CUB",44,24,"ADULT_36_48","FEMALE_ADULT_36_48","MORTALITY",1,0,"ADULT_84",1
81,"MALE","01/06/2005","01/06/2005",2005,"01/01/2015",2015,0,"CUB","MALE_CUB",115,24,"ADULT_84","MALE_ADULT_84","CENSORED",0,0,"ADULT_84",1
85,"FEMALE","01/02/2007","01/02/2007",2007,"01/06/2013",2013,0,"CUB","FEMALE_CUB",76,24,"ADULT_72_84","FEMALE_ADULT_72_84","CENSORED",0,0,"SUBADULT",1
86,"FEMALE","01/02/2007","01/02/2007",2007,"01/01/2015",2015,0,"CUB","FEMALE_CUB",95,24,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0,"SUBADULT",1
87,"MALE","01/11/2008","01/11/2008",2008,"01/01/2015",2015,0,"CUB","MALE_CUB",74,24,"ADULT_72_84","MALE_ADULT_72_84","CENSORED",0,0,"ADULT_48_60",1
88,"MALE","01/11/2008","01/11/2008",2008,"01/01/2015",2015,0,"CUB","MALE_CUB",74,24,"ADULT_72_84","MALE_ADULT_72_84","CENSORED",0,0,"ADULT_48_60",1
89,"FEMALE","01/10/2010","01/10/2010",2010,"01/03/2012",2012,0,"CUB","FEMALE_CUB",17,17,"JUVENILE","FEMALE_JUVENILE","CENSORED",0,1,"ADULT_72_84",0
90,"MALE","01/10/2010","01/10/2010",2010,"01/01/2015",2015,0,"CUB","MALE_CUB",51,24,"ADULT_48_60","MALE_ADULT_48_60","CENSORED",0,0,"ADULT_72_84",1
91,"MALE","01/12/2012","01/12/2012",2012,"01/01/2015",2015,0,"CUB","MALE_CUB",25,24,"SUBADULT","MALE_SUBADULT","CENSORED",0,0,"ADULT_84",1
92,"MALE","01/12/2012","01/12/2012",2012,"01/01/2015",2015,0,"CUB","MALE_CUB",25,24,"SUBADULT","MALE_SUBADULT","CENSORED",0,0,"ADULT_84",1
95,"MALE","01/02/2006","01/02/2006",2006,"01/01/2015",2015,0,"CUB","MALE_CUB",107,24,"ADULT_84","MALE_ADULT_84","CENSORED",0,0,"ADULT_48_60",1
97,"MALE","01/02/2008","01/02/2008",2008,"01/12/2011",2011,0,"CUB","MALE_CUB",46,24,"ADULT_36_48","MALE_ADULT_36_48","CENSORED",0,0,"ADULT_72_84",1
100,"FEMALE","01/01/2010","01/01/2010",2010,"01/01/2015",2015,0,"CUB","FEMALE_CUB",60,24,"ADULT_48_60","FEMALE_ADULT_48_60","CENSORED",0,0,"ADULT_84",1
105,"FEMALE","01/12/2013","01/12/2013",2013,"01/01/2015",2015,0,"CUB","FEMALE_CUB",13,13,"JUVENILE","FEMALE_JUVENILE","CENSORED",0,1,"ADULT_84",0
106,"MALE","01/12/2013","01/12/2013",2013,"01/01/2015",2015,0,"CUB","MALE_CUB",13,13,"JUVENILE","MALE_JUVENILE","CENSORED",0,1,"ADULT_84",0
107,"MALE","01/02/2009","01/02/2009",2009,"01/01/2011",2011,0,"CUB","MALE_CUB",23,23,"JUVENILE","MALE_JUVENILE","CENSORED",0,1,"SUBADULT",0
111,"MALE","01/06/2011","01/06/2011",2011,"01/11/2012",2012,0,"CUB","MALE_CUB",17,17,"JUVENILE","MALE_JUVENILE","CENSORED",0,1,"ADULT_60_72",0
113,NA,"01/08/2008","01/08/2008",2008,"01/02/2010",2010,0,"CUB","NA_CUB",18,18,"JUVENILE","NA_JUVENILE","CENSORED",0,1,"ADULT_36_48",0
134,"MALE","01/11/1999","01/11/1999",1999,"01/12/2001",2001,0,"CUB","MALE_CUB",25,24,"SUBADULT","MALE_SUBADULT","CENSORED",0,0,"ADULT_72_84",1
135,"MALE","01/11/1999","01/11/1999",1999,"01/12/2001",2001,0,"CUB","MALE_CUB",25,24,"SUBADULT","MALE_SUBADULT","CENSORED",0,0,"ADULT_72_84",1
136,"FEMALE","01/12/2001","01/12/2001",2001,"01/12/2003",2003,0,"CUB","FEMALE_CUB",24,24,"JUVENILE","FEMALE_JUVENILE","MORTALITY",1,1,"ADULT_84",1
137,"FEMALE","01/12/2001","01/12/2001",2001,"01/03/2012",2012,0,"CUB","FEMALE_CUB",123,24,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0,"ADULT_84",1
138,"FEMALE","01/12/2001","01/12/2001",2001,"01/06/2013",2013,0,"CUB","FEMALE_CUB",138,24,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0,"ADULT_84",1
139,"MALE","01/01/2004","01/01/2004",2004,"01/03/2006",2006,0,"CUB","MALE_CUB",26,24,"SUBADULT","MALE_SUBADULT","CENSORED",0,0,"ADULT_84",1
142,"FEMALE","01/05/2006","01/05/2006",2006,"01/01/2015",2015,0,"CUB","FEMALE_CUB",104,24,"ADULT_84","FEMALE_ADULT_84","CENSORED",0,0,"ADULT_84",1
149,"FEMALE","01/11/2006","01/11/2006",2006,"01/04/2014",2014,0,"CUB","FEMALE_CUB",89,24,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0,"ADULT_48_60",1
150,"FEMALE","01/04/2009","01/04/2009",2009,"01/01/2015",2015,0,"CUB","FEMALE_CUB",69,24,"ADULT_60_72","FEMALE_ADULT_60_72","CENSORED",0,0,"ADULT_84",1
153,"FEMALE","01/08/2012","01/08/2012",2012,"01/01/2015",2015,0,"CUB","FEMALE_CUB",29,24,"SUBADULT","FEMALE_SUBADULT","CENSORED",0,0,"ADULT_36_48",1
154,"FEMALE","01/06/2013","01/06/2013",2013,"01/01/2015",2015,0,"CUB","FEMALE_CUB",19,19,"JUVENILE","FEMALE_JUVENILE","CENSORED",0,1,"ADULT_36_48",0
159,"FEMALE","01/12/2005","01/12/2005",2005,"01/01/2008",2008,0,"CUB","FEMALE_CUB",25,24,"SUBADULT","FEMALE_SUBADULT","CENSORED",0,0,"ADULT_60_72",1
160,"MALE","01/08/2008","01/08/2008",2008,"01/08/2012",2012,0,"CUB","MALE_CUB",48,24,"ADULT_36_48","MALE_ADULT_36_48","CENSORED",0,0,"ADULT_84",1
162,"FEMALE","01/11/2011","01/11/2011",2011,"01/09/2013",2013,0,"CUB","FEMALE_CUB",22,22,"JUVENILE","FEMALE_JUVENILE","CENSORED",0,1,"ADULT_84",0
163,"MALE","01/03/2010","01/03/2010",2010,"01/12/2011",2011,0,"CUB","MALE_CUB",21,21,"JUVENILE","MALE_JUVENILE","CENSORED",0,1,"ADULT_36_48",0
164,"MALE","01/03/2010","01/03/2010",2010,"01/12/2011",2011,0,"CUB","MALE_CUB",21,21,"JUVENILE","MALE_JUVENILE","CENSORED",0,1,"ADULT_36_48",0
165,"FEMALE","01/08/2012","01/08/2012",2012,"01/01/2015",2015,0,"CUB","FEMALE_CUB",29,24,"SUBADULT","FEMALE_SUBADULT","CENSORED",0,0,"ADULT_60_72",1
169,"MALE","01/02/2012","01/02/2012",2012,"01/01/2015",2015,0,"CUB","MALE_CUB",35,24,"SUBADULT","MALE_SUBADULT","CENSORED",0,0,NA,1
172,"FEMALE","01/09/1979","01/09/1979",1979,"01/11/1982",1982,0,"CUB","FEMALE_CUB",38,24,"ADULT_36_48","FEMALE_ADULT_36_48","MORTALITY",1,0,"ADULT_36_48",1
173,"FEMALE","01/09/1979","01/09/1979",1979,"01/06/1984",1984,0,"CUB","FEMALE_CUB",57,24,"ADULT_48_60","FEMALE_ADULT_48_60","CENSORED",0,0,"ADULT_36_48",1
174,"MALE","01/08/1981","01/08/1981",1981,"01/03/1983",1983,0,"CUB","MALE_CUB",19,19,"JUVENILE","MALE_JUVENILE","CENSORED",0,1,"ADULT_60_72",0
175,"FEMALE","01/08/1981","01/08/1981",1981,"01/06/1988",1988,0,"CUB","FEMALE_CUB",82,24,"ADULT_72_84","FEMALE_ADULT_72_84","MORTALITY",1,0,"ADULT_60_72",1
178,"FEMALE","01/01/1983","01/01/1983",1983,"01/02/1984",1984,0,"CUB","FEMALE_CUB",13,13,"JUVENILE","FEMALE_JUVENILE","CENSORED",0,1,"ADULT_84",0
179,"MALE","01/04/1984","01/04/1984",1984,"01/12/1985",1985,0,"CUB","MALE_CUB",20,20,"JUVENILE","MALE_JUVENILE","MORTALITY",1,1,"ADULT_84",0
180,"FEMALE","01/04/1984","01/04/1984",1984,"01/11/2000",2000,0,"CUB","FEMALE_CUB",199,24,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0,"ADULT_84",1
181,"MALE","01/10/1985","01/10/1985",1985,"01/12/1986",1986,0,"CUB","MALE_CUB",14,14,"JUVENILE","MALE_JUVENILE","CENSORED",0,1,"ADULT_84",0
182,"FEMALE","01/10/1985","01/10/1985",1985,"01/04/1991",1991,0,"CUB","FEMALE_CUB",66,24,"ADULT_60_72","FEMALE_ADULT_60_72","MORTALITY",1,0,"ADULT_84",1
185,"MALE","01/06/1987","01/06/1987",1987,"01/06/1990",1990,0,"CUB","MALE_CUB",36,24,"SUBADULT","MALE_SUBADULT","CENSORED",0,0,"ADULT_84",1
187,"FEMALE","01/08/1988","01/08/1988",1988,"01/06/1993",1993,0,"CUB","FEMALE_CUB",58,24,"ADULT_48_60","FEMALE_ADULT_48_60","MORTALITY",1,0,"ADULT_84",1
188,"MALE","01/10/1989","01/10/1989",1989,"01/03/1991",1991,0,"CUB","MALE_CUB",17,17,"JUVENILE","MALE_JUVENILE","CENSORED",0,1,"ADULT_84",0
192,"FEMALE","01/04/2002","01/04/2002",2002,"01/12/2004",2004,0,"CUB","FEMALE_CUB",32,24,"SUBADULT","FEMALE_SUBADULT","MORTALITY",1,0,"ADULT_48_60",1
198,"MALE","01/04/2006","01/04/2006",2006,"01/02/2013",2013,0,"CUB","MALE_CUB",82,24,"ADULT_72_84","MALE_ADULT_72_84","CENSORED",0,0,"ADULT_84",1
199,"MALE","01/09/2008","01/09/2008",2008,"01/01/2015",2015,0,"CUB","MALE_CUB",76,24,"ADULT_72_84","MALE_ADULT_72_84","CENSORED",0,0,"ADULT_84",1
200,"MALE","01/09/2008","01/09/2008",2008,"01/01/2015",2015,0,"CUB","MALE_CUB",76,24,"ADULT_72_84","MALE_ADULT_72_84","CENSORED",0,0,"ADULT_84",1
205,"MALE","01/06/2013","01/06/2013",2013,"01/01/2015",2015,0,"CUB","MALE_CUB",19,19,"JUVENILE","MALE_JUVENILE","CENSORED",0,1,"ADULT_36_48",0
209,"FEMALE","01/12/1997","01/12/1997",1997,"01/07/2013",2013,0,"CUB","FEMALE_CUB",187,24,"ADULT_84","FEMALE_ADULT_84","MORTALITY",1,0,"ADULT_36_48",1
211,"FEMALE","01/10/1999","01/10/1999",1999,"01/06/2002",2002,0,"CUB","FEMALE_CUB",32,24,"SUBADULT","FEMALE_SUBADULT","CENSORED",0,0,"ADULT_60_72",1
